country,internet_access,mobile_utility_payment,digital_payment,mobile_phone_ownership,mobile_bill_payment,mobile_money_account
Algeria,82.91,1.27,33.74,95.18,3.57,0
Benin,28.85,5.31,43.69,72.39,7.17,36.68
Botswana,50.4,15.81,51.78,88.43,20.28,36.57
Burkina Faso,23.76,6.23,33.29,76.13,9.83,24.67
Cameroon,40.48,8.6,49.85,75.23,11.59,42.43
Chad,10.44,3.55,18.13,50.47,4.55,12.09
Comoros,35.59,1.76,19.81,65.11,3.69,7.73
"Congo, Dem. Rep.",19.11,3.09,25.93,48.12,4.94,22.68
"Congo, Rep.",30.15,3.26,44.36,70.75,9.88,36.78
Cote d'Ivoire,31.35,13.48,47.66,82.76,19.08,40.4
"Egypt, Arab Rep.",37.67,0.13,20.2,80.91,1.45,2.92
Eswatini,49.61,36.06,64.52,84.59,40.63,56.74
Ethiopia,13.49,1.61,19.72,51.31,3.2,4.64
Gabon,73.73,27.99,65.52,93.69,41.01,57.48
"Gambia, The",60.98,3.69,22.37,81.99,6.77,3.75
Ghana,42.94,8.2,65.57,85.31,10.11,59.69
Guinea,30.39,2.65,27.65,79.52,4.39,21.51
Kenya,47.44,30.39,77.56,84.57,44.91,68.66
Lesotho,46.12,29.59,58.58,77.63,22.44,45.88
Liberia,26.87,4.3,46.08,63.82,7.27,36.3
Madagascar,18.19,2.9,23.89,38.53,5.6,19.03
Malawi,21.23,8.11,40.31,61.49,10.01,34.35
Mali,25.74,6.22,38.14,70.59,9.44,29.38
Mauritania,41.69,3.78,19.92,74.33,9.1,10.16
Mauritius,80.92,8.91,80.11,91.68,18.92,15.9
Morocco,66.91,3.07,30.3,100,7.28,6.27
Mozambique,20.38,13.61,42.32,54.6,15.98,29.38
Namibia,50.31,13.61,66.37,79.31,18.48,42.62
Niger,14.85,3.16,9.59,52.01,4.93,5.38
Nigeria,24.86,3.47,33.74,73.36,8.09,8.65
Senegal,50.72,13.81,53.02,82.76,19.49,44.89
Sierra Leone,22.08,4.13,27.01,58.64,3.9,19.04
South Africa,64.23,14.72,80.81,87.76,27.61,36.57
South Sudan,5.22,0,4.81,32.16,1.59,0.85
Tanzania,20.25,20.08,50.22,67.77,18.88,44.58
Togo,26.83,6.98,43.65,68.41,12.06,36.48
Tunisia,62.36,1.04,27.69,87.58,3.37,3.71
Uganda,41.09,20.56,62.58,76.1,25.15,53.8
Zambia,23.46,16.26,46.45,62.5,18.41,41.63
Zimbabwe,30.76,14.03,57.67,80.98,21.45,50.63
